Norway, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 02/12/2019
Cohort     CCF     CCF40
1952     2.062     2.032
1953     2.041     2.010
1954     2.048     2.012
1955     2.051     2.019
1956     2.054     2.019
1957     2.062     2.025
1958     2.070     2.032
1959     2.080     2.043
1960     2.092     2.052
1961     2.088     2.049
1962     2.092     2.051
1963     2.084     2.039
1964     2.082     2.034
1965     2.074     2.025
1966     2.075     2.024
1967     2.070     2.016
1968     2.078     2.023
1969         .     2.008
1970         .     2.005
1971         .     1.991
1972         .     1.983
1973         .     1.981
1974         .     1.961
1975         .     1.956
1976         .     1.957
1977         .     1.949
1978         .     1.921
