"cohort" "prop.childless"
"1" 1935 9.58333333333334
"2" 1936 9.49763593380614
"3" 1937 9.38078703703702
"4" 1938 9.21296296296294
"5" 1939 8.80208333333333
"6" 1940 9.24768518518521
"7" 1941 8.90432098765432
"8" 1942 9.35185185185192
"9" 1943 9.5775462962963
"10" 1944 9.38271604938269
"11" 1945 8.99305555555551
"12" 1946 8.78472222222223
"13" 1947 9.16666666666667
"14" 1948 9.16666666666667
"15" 1949 9.29783950617283
"16" 1950 9.32870370370371
"17" 1951 9.60069444444449
"18" 1952 9.94212962962965
"19" 1953 10.2932098765432
"20" 1954 10.7638888888889
"21" 1955 11.1033950617284
"22" 1956 11.2407407407407
"23" 1957 11.5798611111111
"24" 1958 11.5856481481481
"25" 1959 11.5277777777778
"26" 1960 11.6388888888889
"27" 1961 11.7997685185185
"28" 1962 12.6543209876544
"29" 1963 12.8993055555556
"30" 1964 12.7962962962963
"31" 1965 12.4189814814815
"32" 1966 12.3148148148149
"33" 1967 12.4710648148148
"34" 1968 12.4382716049383
"35" 1969 12.8168402777778
"36" 1970 13.1944444444444
