Norway, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 02/12/2019
Year       MAB     MAB40
1967     27.54     27.08
1968     27.36     26.93
1969     27.27     26.85
1970     27.02     26.67
1971     26.89     26.56
1972     26.71     26.40
1973     26.65     26.38
1974     26.54     26.28
1975     26.43     26.20
1976     26.53     26.30
1977     26.59     26.39
1978     26.77     26.57
1979     26.79     26.62
1980     26.91     26.72
1981     26.95     26.77
1982     27.11     26.93
1983     27.28     27.12
1984     27.37     27.19
1985     27.46     27.29
1986     27.54     27.37
1987     27.71     27.54
1988     27.82     27.65
1989     27.96     27.80
1990     28.12     27.94
1991     28.29     28.10
1992     28.42     28.22
1993     28.59     28.38
1994     28.73     28.52
1995     28.84     28.62
1996     28.94     28.71
1997     29.07     28.82
1998     29.16     28.91
1999     29.25     29.00
2000     29.31     29.05
2001     29.41     29.15
2002     29.51     29.22
2003     29.65     29.38
2004     29.73     29.45
2005     29.78     29.49
2006     29.83     29.53
2007     29.89     29.58
2008     29.91     29.59
2009     29.99     29.67
2010     30.09     29.74
2011     30.25     29.89
2012     30.35     29.99
2013     30.46     30.09
2014     30.63     30.23
2015     30.73     30.33
2016     30.85     30.42
2017     30.99     30.54
2018     31.08     30.64
