Norway, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 02/12/2019
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1967     27.54     23.83     26.98     30.11     32.43     34.53     27.08     23.68     26.70     29.67     31.68     33.34
1968     27.36     23.78     26.85     30.05     32.39     34.64     26.93     23.65     26.65     29.62     31.60     33.33
1969     27.27     23.66     26.67     30.03     32.49     34.80     26.85     23.54     26.48     29.63     31.79     33.46
1970     27.02     23.49     26.61     29.97     32.32     35.00     26.67     23.40     26.45     29.61     31.71     33.81
1971     26.89     23.44     26.61     29.94     32.59     35.05     26.56     23.35     26.46     29.66     32.00     33.71
1972     26.71     23.36     26.56     29.96     32.45     35.25     26.40     23.28     26.42     29.65     31.85     34.02
1973     26.65     23.42     26.64     30.01     32.67     35.17     26.38     23.37     26.54     29.74     32.02     33.88
1974     26.54     23.46     26.61     29.97     32.64     35.70     26.28     23.40     26.51     29.71     32.08     34.18
1975     26.43     23.52     26.69     29.93     32.67     35.52     26.20     23.47     26.58     29.69     32.23     34.15
1976     26.53     23.64     26.86     30.10     32.97     35.75     26.30     23.58     26.77     29.92     32.30     34.29
1977     26.59     23.74     27.00     30.29     32.90     35.82     26.39     23.68     26.90     30.04     32.43     34.57
1978     26.77     23.98     27.12     30.44     33.02     36.12     26.57     23.91     27.04     30.22     32.48     34.55
1979     26.79     24.02     27.10     30.37     33.09     36.04     26.62     23.97     27.02     30.20     32.59     34.71
1980     26.91     24.16     27.29     30.55     33.12     36.02     26.72     24.10     27.20     30.36     32.55     34.63
1981     26.95     24.28     27.30     30.57     33.02     36.07     26.77     24.22     27.22     30.38     32.46     34.73
1982     27.11     24.40     27.47     30.62     33.21     36.10     26.93     24.34     27.39     30.46     32.72     34.54
1983     27.28     24.64     27.65     30.61     33.28     35.72     27.12     24.58     27.57     30.44     32.79     34.44
1984     27.37     24.80     27.76     30.76     33.24     35.75     27.19     24.74     27.68     30.54     32.76     34.36
1985     27.46     24.94     27.91     30.77     33.44     35.70     27.29     24.89     27.84     30.58     32.84     34.39
1986     27.54     25.11     28.07     30.89     33.17     35.88     27.37     25.06     27.99     30.70     32.59     34.45
1987     27.71     25.23     28.25     30.99     33.28     35.79     27.54     25.17     28.17     30.79     32.71     34.47
1988     27.82     25.36     28.41     31.12     33.23     35.41     27.65     25.30     28.31     30.91     32.65     34.07
1989     27.96     25.46     28.57     31.21     33.00     35.49     27.80     25.39     28.48     31.00     32.54     34.19
1990     28.12     25.59     28.62     31.40     33.38     35.39     27.94     25.54     28.52     31.17     32.81     34.20
1991     28.29     25.77     28.79     31.51     33.35     35.30     28.10     25.70     28.68     31.28     32.80     34.12
1992     28.42     25.89     28.91     31.54     33.32     35.50     28.22     25.81     28.78     31.33     32.81     34.13
1993     28.59     26.00     29.05     31.75     33.53     35.29     28.38     25.94     28.92     31.46     32.97     34.08
1994     28.73     26.23     29.11     31.86     33.54     35.45     28.52     26.15     28.98     31.59     33.07     34.20
1995     28.84     26.32     29.27     31.95     33.76     35.25     28.62     26.23     29.12     31.70     33.19     34.12
1996     28.94     26.39     29.44     32.05     33.65     35.47     28.71     26.30     29.29     31.74     33.05     34.31
1997     29.07     26.55     29.50     32.10     33.96     35.48     28.82     26.45     29.31     31.82     33.35     34.25
1998     29.16     26.71     29.68     32.14     33.92     35.30     28.91     26.60     29.50     31.83     33.28     34.15
1999     29.25     26.82     29.76     32.20     34.00     35.62     29.00     26.70     29.58     31.92     33.35     34.39
2000     29.31     26.89     29.85     32.25     33.88     35.77     29.05     26.79     29.68     31.94     33.23     34.47
2001     29.41     27.04     30.00     32.36     34.03     35.61     29.15     26.91     29.82     32.04     33.40     34.36
2002     29.51     27.20     30.14     32.46     34.14     35.66     29.22     27.06     29.95     32.09     33.34     34.34
2003     29.65     27.44     30.26     32.49     34.12     35.83     29.38     27.32     30.06     32.13     33.45     34.49
2004     29.73     27.60     30.33     32.62     33.96     35.88     29.45     27.46     30.11     32.27     33.34     34.54
2005     29.78     27.69     30.39     32.53     34.18     35.92     29.49     27.53     30.17     32.16     33.41     34.41
2006     29.83     27.71     30.51     32.71     34.18     35.77     29.53     27.55     30.31     32.33     33.32     34.41
2007     29.89     27.75     30.56     32.78     34.35     35.79     29.58     27.57     30.31     32.37     33.60     34.36
2008     29.91     27.80     30.61     32.85     34.23     36.02     29.59     27.62     30.36     32.45     33.47     34.60
2009     29.99     27.88     30.67     32.92     34.25     36.10     29.67     27.69     30.41     32.53     33.57     34.62
2010     30.09     28.01     30.81     32.92     34.39     36.12     29.74     27.81     30.52     32.50     33.57     34.55
2011     30.25     28.22     30.88     32.97     34.52     34.74     29.89     28.00     30.58     32.54     33.68     33.25
2012     30.35     28.40     30.95     33.02     34.24     34.62     29.99     28.17     30.65     32.56     33.44     33.12
2013     30.46     28.55     31.02     33.11     34.59     35.90     30.09     28.32     30.72     32.64     33.63     34.58
2014     30.63     28.73     31.20     33.25     34.64     36.07     30.23     28.48     30.86     32.76     33.74     34.60
2015     30.73     28.89     31.30     33.19     34.69     36.32     30.33     28.60     30.97     32.75     33.69     34.84
2016     30.85     29.03     31.45     33.23     34.72     36.34     30.42     28.75     31.09     32.72     33.71     34.61
2017     30.99     29.26     31.50     33.29     34.45     36.42     30.54     28.96     31.14     32.74     33.45     34.56
2018     31.08     29.45     31.55     33.31     34.64     36.36     30.64     29.14     31.17     32.81     33.67     34.71
