Norway, Period total fertility rates and period total fertility rates by age 40
Last modified: 02/12/2019
Year       TFR     TFR40
1967     2.785     2.700
1968     2.753     2.675
1969     2.697     2.623
1970     2.506     2.449
1971     2.489     2.436
1972     2.384     2.337
1973     2.230     2.191
1974     2.131     2.095
1975     1.983     1.954
1976     1.863     1.837
1977     1.754     1.731
1978     1.769     1.746
1979     1.751     1.730
1980     1.723     1.702
1981     1.701     1.681
1982     1.709     1.689
1983     1.656     1.637
1984     1.659     1.638
1985     1.677     1.657
1986     1.711     1.691
1987     1.745     1.725
1988     1.841     1.818
1989     1.887     1.865
1990     1.932     1.907
1991     1.918     1.891
1992     1.885     1.857
1993     1.860     1.831
1994     1.865     1.836
1995     1.868     1.837
1996     1.889     1.855
1997     1.856     1.821
1998     1.813     1.778
1999     1.844     1.808
2000     1.851     1.813
2001     1.784     1.747
2002     1.754     1.714
2003     1.796     1.757
2004     1.828     1.787
2005     1.836     1.792
2006     1.904     1.858
2007     1.901     1.851
2008     1.957     1.906
2009     1.980     1.927
2010     1.946     1.890
2011     1.881     1.824
2012     1.852     1.796
2013     1.782     1.726
2014     1.756     1.697
2015     1.731     1.671
2016     1.706     1.643
2017     1.623     1.560
2018     1.565     1.504
