"id","date","time","pop","iniY","endY","ini_c","n0","nsim","ne","iter","weights","N"
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0.5,40
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0,40
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0,40
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0,40
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0,40
"20230316_155016","2023-03-16","15:50:16","NO",1910,2019,150,40,2,20,2,0.5,40
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0,160
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0,160
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0,160
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0,160
"20230316_170648","2023-03-16","17:06:48","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0,160
"20230318_173933","2023-03-18","17:39:33","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0,160
"20230320_133056","2023-03-20","13:30:56","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0.5,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0,160
"20230322_014909","2023-03-22","01:49:09","NO",1910,2019,1000,40,2,20,8,0.5,160
